"participantId","householdSize","haveKids","age","educationLevel","interestGroup","joviality","Education","Food","Recreation","Shelter","Wage","RentAdjustment","Cost_of_living","Total_Income","Total_Savings"
22,"3",TRUE,25,"HighSchoolOrCollege","E",0.663815663,-166.56178526,-5193.63717984,-5400.524392499,-13189.144891,41715.257022847,0,-23949.868248599,41715.257022847,17765.388774248
23,"3",TRUE,57,"Low","B",0.260211811,-1184.86568005,-3536.828736323,-8280.755432452,-7275.0827851,62408.1045996,0,-20277.532633925,62408.1045996,42130.571965675
24,"3",TRUE,44,"Bachelors","D",0.607328128,-166.56178526,-3622.042309013,-4659.259134594,-7461.2876806,97650.037685774,0,-15909.150909467,97650.037685774,81740.886776307
25,"3",TRUE,38,"HighSchoolOrCollege","J",0.520535752,-166.56178526,-4733.304848237,-3671.267996082,-7630.8624002,70324.64861496,0,-16201.997029779,70324.64861496,54122.651585181
26,"3",TRUE,28,"HighSchoolOrCollege","F",0.549177225,-166.56178526,-4747.094825386,-6472.932879784,-7630.8624002,65913.019476026,0,-19017.45189063,65913.019476026,46895.567585396
27,"3",TRUE,45,"HighSchoolOrCollege","D",0.135148815,-494.06993415,-3538.35463427,-4827.640739569,-7313.3483566,75017.819074235,0,-16173.413664589,75017.819074235,58844.405409646
28,"3",TRUE,54,"Bachelors","A",0.230073813,-494.06993415,-3099.598675079,-8202.314830288,-7313.3483566,164093.147420449,0,-19109.331796117,164093.147420449,144983.815624332
29,"3",TRUE,18,"Low","C",0.607853294,-166.56178526,-3575.532201451,-3684.610226809,-8007.6951123,55043.724247486,0,-15434.39932582,55043.724247486,39609.324921666
30,"3",TRUE,49,"HighSchoolOrCollege","C",0.681423545,-166.56178526,-5133.141684585,-5918.120593181,-15117.8312225,25449.635419152,3852.01959011,-26335.655285526,29301.655009262,2965.999723736
31,"3",TRUE,40,"Graduate","F",0.23266675,-1184.86568005,-3534.138705922,-4329.098383359,-7375.6599657,179333.27717304,0,-16423.762735031,179333.27717304,162909.514438009
32,"3",TRUE,33,"HighSchoolOrCollege","C",0.189498641,-494.06993415,-3467.547980916,-3514.120978224,-7411.8446298,73030.734287423,0,-14887.58352309,73030.734287423,58143.150764333
33,"3",TRUE,21,"Bachelors","D",0.094585958,-951.57207795,-3688.187341004,-2618.799249323,-7453.3977453,145576.82733152,0,-14711.956413577,145576.82733152,130864.870917943
34,"3",TRUE,23,"Low","B",0.767112453,-166.56178526,-3283.804310452,-7655.58581996,-15549.6789345,49995.57663901,2095.94697474,-26655.630850172,52091.52361375,25435.892763578
35,"3",TRUE,20,"Low","J",0.707950782,-166.56178526,-5276.102953224,-6669.230630732,-8139.5865603,24861.600204185,0,-20251.481929516,24861.600204185,4610.118274669
36,"3",TRUE,41,"Graduate","G",0.348019484,-166.56178526,-3548.813759047,-3992.502344634,-8346.8445515,176406.386366313,0,-16054.722440441,176406.386366313,160351.663925872
37,"3",TRUE,54,"HighSchoolOrCollege","G",0.174975799,-494.06993415,-3264.19971666,-5868.08577503,-7461.0927677,72983.6100063216,0,-17087.44819354,72983.6100063216,55896.1618127816
38,"3",TRUE,34,"Low","D",0.215116214,-494.06993415,-3511.602596292,-4952.119432358,-7461.0927677,60645.711923869,0,-16418.8847305,60645.711923869,44226.827193369
39,"3",TRUE,54,"Bachelors","G",0.862950926,-166.56178526,-3332.706356142,-6870.73248778,-9741.1255838,48281.35170148,0,-20111.126212982,48281.35170148,28170.225488498
40,"3",TRUE,55,"Low","I",0.880410054,-494.06993415,-4993.505942817,-6904.471016084,-7830.4537948,27237.120792109,0,-20222.500687851,27237.120792109,7014.620104258
41,"3",TRUE,41,"HighSchoolOrCollege","F",0.863663966,-166.56178526,-5233.51161204,-5142.568339536,-8648.3107204,25039.982058947,0,-19190.952457236,25039.982058947,5849.029601711
42,"3",TRUE,24,"HighSchoolOrCollege","J",0.055283617,-951.57207795,-3388.535458681,-3534.778645698,-7498.0288708,70386.1571127605,0,-15372.915053129,70386.1571127605,55013.2420596315
43,"3",TRUE,48,"Bachelors","E",0.045228735,-494.06993415,-3405.913771043,-6997.219147469,-7510.3409043,141855.11912017,0,-18407.543756962,141855.11912017,123447.575363208
44,"3",TRUE,39,"Low","C",0.976499153,-25.62489004,-38.534865854,0,0,2235.986141767,0,-64.159755894,2235.986141767,2171.826385873
45,"3",TRUE,50,"Graduate","E",0.179657824,-494.06993415,-3154.361507783,-3823.995745573,-7510.3409043,174223.80402404,0,-14982.768091806,174223.80402404,159241.035932234
46,"3",TRUE,47,"HighSchoolOrCollege","D",0.225049088,-494.06993415,-3294.327355918,-6350.289201791,-7510.3409043,69714.0974055087,0,-17649.027396159,69714.0974055087,52065.0700093497
47,"3",TRUE,58,"HighSchoolOrCollege","C",0.424159724,-166.56178526,-4940.841831962,-3028.500571327,-8648.3107204,64743.235419886,0,-16784.214908949,64743.235419886,47959.020510937
48,"3",TRUE,42,"HighSchoolOrCollege","F",0.485827661,-166.56178526,-5292.045957109,-4986.389299878,-8648.3107204,63062.122777084,0,-19093.307762647,63062.122777084,43968.815014437
49,"3",TRUE,54,"Graduate","D",0.229589642,-494.06993415,-3501.984124702,-3690.860996892,-7534.9649726,172549.508854507,0,-15221.880028344,172549.508854507,157327.628826163
50,"3",TRUE,45,"HighSchoolOrCollege","H",0.576174771,-166.56178526,-3600.459228995,-6568.670989734,-8648.3107204,62232.9524283629,0,-18984.002724389,62232.9524283629,43248.9497039739
51,"3",TRUE,26,"Graduate","G",0.374354513,-166.56178526,-5086.545922718,-3638.52214863,-8685.993992,159795.11514624,0,-17577.623848608,159795.11514624,142217.491297632
52,"3",TRUE,39,"HighSchoolOrCollege","B",0.730126771,-166.56178526,-5206.804499371,-6890.269262542,-11700.655681,33226.680291287,0,-23964.291228173,33226.680291287,9262.389063114
53,"3",TRUE,19,"Low","H",0.140697641,-494.06993415,-3094.757011377,-4331.026198566,-7542.659995,52802.056041679,0,-15462.513139093,52802.056041679,37339.542902586
54,"3",TRUE,32,"Graduate","I",0.778504463,-166.56178526,-3269.681552135,-6096.597144905,-20232.630431,101052.782103883,0,-29765.4709133,101052.782103883,71287.311190583
55,"3",TRUE,37,"HighSchoolOrCollege","J",0.770806686,-166.56178526,-5520.517337038,-5676.590376326,-8696.8069565,25557.858624347,0,-20060.476455124,25557.858624347,5497.382169223
56,"3",TRUE,40,"Graduate","G",0.734056857,-166.56178526,-5136.507390653,-4534.553789335,-13884.890227,43561.8735330325,0,-23722.513192248,43561.8735330325,19839.3603407845
57,"3",TRUE,56,"Graduate","A",0.422849796,-166.56178526,-3133.786192717,-4735.096219484,-8855.5687116,137251.037960341,0,-16891.012909061,137251.037960341,120360.02505128
58,"3",TRUE,40,"Graduate","J",0.192945633,-166.56178526,-3364.854837976,-4198.508492096,-7543.2886022,170050.738953156,0,-15273.213717532,170050.738953156,154777.525235624
59,"3",TRUE,35,"Bachelors","C",0.186308253,-494.06993415,-3274.1018634,-4771.039455847,-7584.2131105,138322.69592795,0,-16123.424363897,138322.69592795,122199.271564053
60,"3",TRUE,46,"HighSchoolOrCollege","D",0.411129251,-166.56178526,-4756.443513662,-5995.905999386,-8930.9352548,60681.736298346,0,-19849.846553108,60681.736298346,40831.889745238
61,"3",TRUE,44,"HighSchoolOrCollege","F",0.598278749,-166.56178526,-5190.0500379,-3712.42489239,-9058.4643409,61109.1916507,0,-18127.50105645,61109.1916507,42981.69059425
62,"3",TRUE,57,"Bachelors","A",0.491406814,-166.56178526,-3480.127096215,-3900.91044137,-9058.4643409,93160.8865452924,0,-16606.063663745,93160.8865452924,76554.8228815474
63,"3",TRUE,36,"HighSchoolOrCollege","G",0.583943591,-166.56178526,-5135.194477971,-4708.69534488,-9081.6683386,60364.749305463,0,-19092.119946711,60364.749305463,41272.629358752
64,"3",TRUE,52,"HighSchoolOrCollege","I",0.330606159,-166.56178526,-5357.31503048,-4725.993526913,-9081.6683386,57741.978063216,0,-19331.538681253,57741.978063216,38410.439381963
65,"3",TRUE,23,"HighSchoolOrCollege","I",0.498178653,-166.56178526,-3105.063059997,-5186.018207364,-9081.6683386,57037.21323875,0,-17539.311391221,57037.21323875,39497.901847529
66,"3",TRUE,51,"Bachelors","J",0.773765426,-166.56178526,-4440.986237996,-9606.312752369,-15264.180945,80053.720494954,0,-29478.041720625,80053.720494954,50575.678774329
67,"3",TRUE,19,"HighSchoolOrCollege","C",0.438788793,-166.56178526,-4820.506969109,-2300.543086887,-9082.2398381,56934.78304342,0,-16369.851679356,56934.78304342,40564.931364064
68,"3",TRUE,42,"HighSchoolOrCollege","G",0.519538618,-166.56178526,-4913.924072364,-3392.867212383,-9119.3516102,55300.128127759,0,-17592.704680207,55300.128127759,37707.423447552
69,"3",TRUE,24,"Bachelors","B",0.743901318,-166.56178526,-5830.403660906,-4839.834846224,-13980.493579,53149.20567568,0,-24817.29387139,53149.20567568,28331.91180429
70,"3",TRUE,49,"HighSchoolOrCollege","D",0.72544679,-166.56178526,-3768.350629603,-5771.708979289,-11003.5151655,32811.0233956583,0,-20710.136559652,32811.0233956583,12100.8868360063
71,"3",TRUE,59,"Bachelors","J",0.947066909,-166.56178526,-5466.822090715,-5641.450529622,-11003.5151655,32875.179465979,0,-22278.349571097,32875.179465979,10596.829894882
72,"3",TRUE,21,"Bachelors","B",0.218744284,-494.06993415,-3501.895275468,-5464.613967611,-7633.4612471,130145.895417379,0,-17094.040424329,130145.895417379,113051.85499305
73,"3",TRUE,32,"Bachelors","H",0.381370977,-166.56178526,-5114.034700823,-4235.295981524,-9129.7908325,87125.8552678646,0,-18645.683300107,87125.8552678646,68480.1719677576
74,"3",TRUE,48,"HighSchoolOrCollege","B",0.904601349,-494.06993415,-5411.030889386,-6467.937155878,-7830.4537948,23187.063094374,0,-20203.491774214,23187.063094374,2983.57132016
75,"2",FALSE,59,"HighSchoolOrCollege","A",0.791342831,0,-4014.883424883,-7486.682140533,-11887.7484791,35737.01456014,0,-23389.314044516,35737.01456014,12347.700515624
76,"2",FALSE,34,"HighSchoolOrCollege","I",0.362917704,0,-3649.677392365,-3700.353595625,-9129.7908325,54758.5430541676,0,-16479.82182049,54758.5430541676,38278.7212336776
77,"2",FALSE,20,"HighSchoolOrCollege","C",0.621716267,0,-3545.248106223,-5570.369646542,-9201.1173228,54707.9195316376,0,-18316.735075565,54707.9195316376,36391.1844560726
78,"2",FALSE,24,"Graduate","B",0.188638917,0,-4182.365894208,-4666.743393883,-7643.8657828,160474.07060435,0,-16492.975070891,160474.07060435,143981.095533459
79,"2",FALSE,56,"HighSchoolOrCollege","C",0.03403389,0,-3271.925528975,-1902.043884246,-7643.8657828,70471.18021287,0,-12817.835196021,70471.18021287,57653.345016849
80,"2",FALSE,59,"HighSchoolOrCollege","E",0.40138993,0,-4785.572719472,-2411.529716705,-9224.89282,53990.394826377,0,-16421.995256177,53990.394826377,37568.3995702
81,"2",FALSE,27,"Graduate","D",0.871320255,0,-4726.024591225,-5610.264958799,-14574.379638,69192.258122067,0,-24910.669188024,69192.258122067,44281.588934043
82,"2",FALSE,40,"Graduate","H",0.955760648,0,-6757.96436157,-5851.290303957,-13867.443772,75814.3931223,0,-26476.698437527,75814.3931223,49337.694684773
83,"2",FALSE,53,"HighSchoolOrCollege","C",0.027148207,0,-3583.819102072,-484.605697294,-7658.0853154,69178.0670697925,0,-11726.510114766,69178.0670697925,57451.5569550265
84,"2",FALSE,33,"HighSchoolOrCollege","J",0.455102277,0,-5230.230443082,-4468.292491707,-9296.2193103,52995.112218248,0,-18994.742245089,52995.112218248,34000.369973159
85,"2",FALSE,45,"HighSchoolOrCollege","A",0.354510651,0,-4616.166923034,-7610.007659638,-9296.2193103,52407.3932915228,0,-21522.393892972,52407.3932915228,30884.9993985508
86,"2",FALSE,31,"HighSchoolOrCollege","C",0.399201318,0,-5037.029603959,-2683.9233336,-9307.7679656,51601.615996569,0,-17028.720903159,51601.615996569,34572.89509341
87,"2",FALSE,58,"HighSchoolOrCollege","A",0.725176476,0,-5117.657308358,-7079.924497834,-8175.1907549,27544.260133201,0,-20372.772561092,27544.260133201,7171.487572109
88,"2",FALSE,20,"HighSchoolOrCollege","A",0.746921002,0,-5853.430685889,-5619.835558865,-7830.4537948,23596.945159913,0,-19303.720039554,23596.945159913,4293.225120359
89,"2",FALSE,54,"HighSchoolOrCollege","J",0.169054036,0,-3500.905570052,-4218.079647085,-7677.3915101,67938.0997797247,0,-15396.376727237,67938.0997797247,52541.7230524877
90,"2",FALSE,20,"HighSchoolOrCollege","E",0.139818869,0,-3032.982857936,-3679.146218111,-7677.3915101,66755.469338472,0,-14389.520586147,66755.469338472,52365.948752325
91,"2",FALSE,41,"HighSchoolOrCollege","E",0.733204092,0,-5169.031609546,-5658.364589146,-7904.326001,23228.901376413,0,-18731.722199692,23228.901376413,4497.179176721
92,"2",FALSE,43,"HighSchoolOrCollege","J",0.467868166,0,-3275.08135511,-4624.393958436,-9367.5458019,50537.7070169608,0,-17267.021115446,50537.7070169608,33270.6859015148
93,"2",FALSE,48,"HighSchoolOrCollege","B",0.580101654,0,-4724.891411522,-4142.259689818,-9367.5458019,48600.6475596,0,-18234.69690324,48600.6475596,30365.95065636
94,"2",FALSE,23,"Bachelors","C",0.413830119,0,-4802.223818492,-2879.176245461,-9367.5458019,86150.63404806,0,-17048.945865853,86150.63404806,69101.688182207
95,"2",FALSE,47,"Low","H",0.451218504,0,-3540.502340982,-5507.935943941,-9415.096795,46192.388161015,0,-18463.535079923,46192.388161015,27728.853081092
96,"2",FALSE,23,"HighSchoolOrCollege","B",0.504845427,0,-4780.062693505,-4225.715928344,-9415.096795,48550.7504001318,0,-18420.875416849,48550.7504001318,30129.8749832828
97,"2",FALSE,56,"Graduate","J",0.679506778,0,-6007.827735662,-6089.690793971,-13189.144891,69337.59324366,0,-25286.663420633,69337.59324366,44050.929823027
98,"2",FALSE,55,"HighSchoolOrCollege","B",0.366630644,0,-5240.781226283,-2756.422036061,-9415.096795,48048.085073307,0,-17412.300057344,48048.085073307,30635.785015963
99,"2",FALSE,31,"Bachelors","H",0.39686665,0,-5146.031412876,-3553.113015683,-9439.6594149,80393.0531385802,0,-18138.803843459,80393.0531385802,62254.2492951212
100,"2",FALSE,29,"Low","F",0.142686163,0,-3695.505647725,-4425.221753348,-7765.815616,46918.017180225,0,-15886.543017073,46918.017180225,31031.474163152
101,"2",FALSE,38,"HighSchoolOrCollege","A",0.020504586,0,-3259.817995648,0,-7810.4467402,66062.92071048,0,-11070.264735848,66062.92071048,54992.655974632
102,"2",FALSE,56,"Bachelors","A",0.265501227,0,-3501.389048516,-6492.586943432,-7830.4537948,128867.678030806,0,-17824.429786748,128867.678030806,111043.248244058
103,"2",FALSE,18,"Bachelors","J",0.194724115,0,-3381.330007309,-3421.326812397,-7830.4537948,123514.41343851,0,-14633.110614506,123514.41343851,108881.302824004
104,"2",FALSE,47,"HighSchoolOrCollege","F",0.991414933,0,-3578.383020679,-6715.522237918,-8175.1907549,27449.8108715477,0,-18469.096013497,27449.8108715477,8980.7148580507
105,"2",FALSE,52,"HighSchoolOrCollege","J",0.851915894,0,-6591.21750065,-4928.083162035,-10912.9531043,36882.070048344,0,-22432.253766985,36882.070048344,14449.816281359
106,"2",FALSE,34,"Bachelors","A",0.700811306,0,-3581.900699089,-6344.388416384,-11675.8563064,64951.7726303217,0,-21602.145421873,64951.7726303217,43349.6272084487
107,"2",FALSE,26,"HighSchoolOrCollege","C",0.357131296,0,-4926.284965885,-2300.133546166,-9439.6594149,47422.441332901,0,-16666.077926951,47422.441332901,30756.36340595
108,"2",FALSE,36,"HighSchoolOrCollege","C",0.098903572,0,-3531.573088572,-2962.581130376,-7830.4537948,65687.9296834234,0,-14324.608013748,65687.9296834234,51363.3216696754
109,"2",FALSE,52,"HighSchoolOrCollege","C",0.290464519,0,-3436.84987627,-8936.473320291,-7845.0201453,65815.37709594,0,-20218.343341861,65815.37709594,45597.033754079
110,"2",FALSE,26,"HighSchoolOrCollege","D",0.313305546,0,-3520.696605877,-6081.023190301,-7845.0201453,64635.948286775,0,-17446.739941478,64635.948286775,47189.208345297
111,"2",FALSE,30,"HighSchoolOrCollege","B",0.720330648,0,-3523.617544845,-7274.56899773,-7904.326001,22991.9151084,0,-18702.512543575,22991.9151084,4289.402564825
112,"2",FALSE,23,"Graduate","C",0.646977694,0,-5219.602207201,-3079.853170602,-9629.0762685,128453.75403391,0,-17928.531646303,128453.75403391,110525.222387607
113,"2",FALSE,51,"Graduate","G",0.999233967,0,-4765.333398327,-5394.046027746,-14356.24086,73080.294789796,0,-24515.620286073,73080.294789796,48564.674503723
114,"2",FALSE,55,"Graduate","G",0.413490065,0,-4749.48411298,-2216.931983873,-9652.8517657,113070.51238683,0,-16619.267862553,113070.51238683,96451.244524277
115,"2",FALSE,56,"HighSchoolOrCollege","J",0.57753282,0,-3607.924310546,-5470.545677854,-9652.8517657,47503.378540494,0,-18731.3217541,47503.378540494,28772.056786394
116,"2",FALSE,43,"Graduate","E",0.30282788,0,-3548.161612771,-4120.223853425,-7845.0201453,155724.3338855,0,-15513.405611496,155724.3338855,140210.928274004
117,"2",FALSE,22,"Bachelors","F",0.760663448,0,-4769.308185382,-6410.804215616,-16824.83336,69990.013915788,3436.51922634,-28004.945760998,73426.533142128,45421.58738113
118,"2",FALSE,33,"Bachelors","C",0.140611532,0,-3520.566971784,-5919.829207527,-7845.0201453,121831.2238365,0,-17285.416324611,121831.2238365,104545.807511889
119,"2",FALSE,32,"Graduate","B",0.612907872,0,-5013.917446589,-5284.236624549,-9676.6272616,110673.08739362,0,-19974.781332738,110673.08739362,90698.306060882
120,"2",FALSE,31,"HighSchoolOrCollege","E",0.876546337,0,-3978.013022285,-7222.440766414,-11060.7138317,38726.59186512,0,-22261.167620399,38726.59186512,16465.424244721
121,"2",FALSE,45,"HighSchoolOrCollege","F",0.41537229,0,-5366.157234789,-4008.954627862,-9741.1255838,47064.217019028,0,-19116.237446451,47064.217019028,27947.979572577
122,"2",FALSE,37,"HighSchoolOrCollege","A",0.159723746,0,-3516.854007988,-4388.176471023,-7869.1361528,64482.012566782,0,-15774.166631811,64482.012566782,48707.845934971
123,"2",FALSE,43,"HighSchoolOrCollege","B",0.118152103,0,-3260.634317821,-4053.813095321,-7903.8897925,63736.034844614,0,-15218.337205642,63736.034844614,48517.697638972
124,"2",FALSE,49,"Graduate","I",0.14336634,0,-3623.951429824,-3397.153031057,-7903.8897925,153196.23548443,0,-14924.994253381,153196.23548443,138271.241231049
125,"2",FALSE,50,"Graduate","E",0.150075471,0,-3283.509793096,-6842.723161313,-7904.326001,137890.3135974,0,-18030.558955409,137890.3135974,119859.754641991
126,"2",FALSE,26,"HighSchoolOrCollege","A",0.72895287,0,-4840.35696457,-6193.614585248,-8224.4388915,25342.529045591,0,-19258.410441318,25342.529045591,6084.118604273
127,"2",FALSE,60,"HighSchoolOrCollege","E",0.882038681,0,-55.754300657,0,0,2763.9303496416,0,-55.754300657,2763.9303496416,2708.1760489846
128,"2",FALSE,57,"Bachelors","G",0.718790546,0,-5291.689162725,-5086.384485887,-11700.655681,54854.225652872,0,-22078.729329612,54854.225652872,32775.49632326
129,"2",FALSE,27,"HighSchoolOrCollege","B",0.371183768,0,-4589.116321629,-7441.572502147,-9741.1255838,45549.629772589,0,-21771.814407576,45549.629772589,23777.815365013
130,"2",FALSE,48,"HighSchoolOrCollege","J",0.524660325,0,-5196.733444712,-5218.041184607,-9741.1255838,45383.105477582,0,-20155.900213119,45383.105477582,25227.205264463
131,"2",FALSE,26,"Bachelors","H",0.802929522,0,-3590.219585744,-7933.280980227,-11549.9225972,37963.328141,0,-23073.423163171,37963.328141,14889.904977829
132,"2",FALSE,36,"Graduate","I",0.540291283,0,-3459.205450321,-5307.308649659,-9741.1255838,103914.92728566,0,-18507.63968378,103914.92728566,85407.2876018795
133,"2",FALSE,27,"HighSchoolOrCollege","I",0.551268581,0,-4733.517300066,-3798.570612647,-9741.1255838,44993.1581676,0,-18273.213496513,44993.1581676,26719.944671087
134,"2",FALSE,53,"HighSchoolOrCollege","D",0.247000174,0,-3135.752485523,-1590.413603713,-8002.8222755,63392.12523083,0,-12728.988364736,63392.12523083,50663.136866094
135,"2",FALSE,59,"HighSchoolOrCollege","E",0.86081073,0,-5558.085745608,-7121.213505318,-10325.2162858,42360.62504622,0,-23004.515536726,42360.62504622,19356.109509494
136,"2",FALSE,34,"Graduate","A",0.555650922,0,-5120.110390078,-4328.15587732,-9741.1255838,101795.3877961,0,-19189.391851198,101795.3877961,82605.995944902
137,"2",FALSE,34,"HighSchoolOrCollege","C",0.87301128,0,-3334.039343182,-4748.479104585,-8569.1758516,26548.7873186685,0,-16651.694299367,26548.7873186685,9897.0930193015
138,"2",FALSE,49,"HighSchoolOrCollege","H",0.732757238,0,-5266.083819202,-5134.790949306,-13019.570174,44677.176585886,0,-23420.444942508,44677.176585886,21256.731643378
139,"2",FALSE,48,"Bachelors","C",0.846097713,0,-4957.838463504,-4672.278081162,-16428.868404,50806.562082226,0,-26058.984948666,50806.562082226,24747.57713356
140,"2",FALSE,24,"Bachelors","I",0.216307476,0,-3604.85307852,-3674.614602676,-8002.8222755,120335.219556194,0,-15282.289956696,120335.219556194,105052.929599498
141,"2",FALSE,24,"Bachelors","B",0.792161061,0,-5392.448309299,-5365.807603707,-10724.519666,40996.9348062793,802.87905857,-21482.775579006,41799.8138648493,20317.0382858433
142,"2",FALSE,24,"HighSchoolOrCollege","F",0.789243454,0,-64.700613408,0,0,2844.6523782933,0,-64.700613408,2844.6523782933,2779.9517648853
143,"2",FALSE,18,"HighSchoolOrCollege","A",0.107753878,0,-3010.641259594,-8670.875737605,-8002.8222755,62858.9635338625,0,-19684.339272699,62858.9635338625,43174.6242611635
144,"2",FALSE,23,"HighSchoolOrCollege","I",0.444080663,0,-4884.777597584,-5304.63316737,-9771.7292504,44054.169496629,0,-19961.140015354,44054.169496629,24093.029481275
145,"2",FALSE,30,"HighSchoolOrCollege","F",0.882253016,0,-3541.884215467,-8579.996122491,-8101.31855,26990.072374871,0,-20223.198887958,26990.072374871,6766.873486913
146,"2",FALSE,46,"HighSchoolOrCollege","J",0.643761923,0,-5014.405165525,-5353.863244117,-9771.7292504,43939.07160374,0,-20139.997660042,43939.07160374,23799.073943698
147,"2",FALSE,44,"HighSchoolOrCollege","J",0.528698226,0,-3483.607121901,-6951.466115521,-9771.7292504,43022.2131828165,0,-20206.802487822,43022.2131828165,22815.4106949945
148,"2",FALSE,37,"Bachelors","A",0.266938991,0,-3571.485126241,-3480.792117173,-8002.8222755,118250.749215864,0,-15055.099518914,118250.749215864,103195.64969695
149,"2",FALSE,26,"Bachelors","A",0.80654106,0,-5597.16587987,-7447.899017443,-8101.31855,24655.822847967,0,-21146.383447313,24655.822847967,3509.439400654
150,"2",FALSE,44,"Bachelors","H",0.20807405,0,-3530.929089958,-4103.39283375,-8002.8222755,110572.24304994,0,-15637.144199208,110572.24304994,94935.098850732
151,"2",FALSE,46,"Low","G",0.159854965,0,-4126.666787816,-4498.40074588,-8002.8222755,45372.895346132,0,-16627.889809196,45372.895346132,28745.005536936
152,"2",FALSE,41,"HighSchoolOrCollege","I",0.6089739,0,-5251.113315458,-2996.451221007,-9866.8312379,42600.57016174,0,-18114.395774365,42600.57016174,24486.174387375
153,"2",FALSE,23,"HighSchoolOrCollege","A",0.758079342,0,-6517.4938079,-6379.790055393,-11513.6861242,35467.55891728,0,-24410.969987493,35467.55891728,11056.588929787
